Vxlan Mac Address Table
----------------------------------------------------------------------

VLAN  Mac Address     Type      Prt  VTEP             Moves   Last Move
----  -----------     ----      ---  ----             -----   ---------
1198  021c.7308.8835  EVPN      Vx1  192.168.254.15   1       2:16:27 ago
1198  021c.7361.f9e3  EVPN      Vx1  192.168.254.13   1       2:16:29 ago
1198  021c.73ab.8d61  EVPN      Vx1  192.168.254.21   1       2:16:25 ago
1199  001c.732a.51e3  EVPN      Vx1  192.168.254.18   1       2:16:43 ago
1199  001c.7391.0a17  EVPN      Vx1  192.168.254.17   1       2:16:43 ago
1199  021c.7308.8835  EVPN      Vx1  192.168.254.15   1       2:16:27 ago
1199  021c.7361.f9e3  EVPN      Vx1  192.168.254.13   1       2:16:29 ago
1199  021c.7394.e2ca  EVPN      Vx1  192.168.254.19   1       2:16:27 ago
1199  021c.73ab.8d61  EVPN      Vx1  192.168.254.21   1       2:16:25 ago
Total Remote Mac Addresses for this criterion: 9
