BGP summary information for VRF default
Router identifier 192.168.1.1, local AS number 65001
Neighbor Status Codes: m - Under maintenance
  Description              Neighbor      V AS           MsgRcvd   MsgSent  InQ OutQ  Up/Down State   PfxRcd PfxAcc
  avd-rs01_Ethernet1       172.31.250.49 4 65000            247       265    0    0 03:28:03 Estab   1      1
  avd-l2leaf01_Ethernet1   172.31.251.81 4 65107            262       267    0    0 03:28:01 Estab   2      2
  avd-l2leaf02_Ethernet1   172.31.251.85 4 65108            255       262    0    0 03:28:01 Estab   2      2
  avd-leaf1a_Ethernet1     172.31.255.41 4 65101            259       258    0    0 03:27:42 Estab   3      3
  avd-leaf1b_Ethernet1     172.31.255.45 4 65101            255       261    0    0 03:27:42 Estab   3      3
  avd-leaf2a_Ethernet1     172.31.255.49 4 65102            260       262    0    0 03:27:33 Estab   3      3
  avd-leaf2b_Ethernet1     172.31.255.53 4 65102            262       260    0    0 03:27:32 Estab   3      3
  avd-leaf3a_Ethernet1     172.31.255.57 4 65103            255       265    0    0 03:27:47 Estab   2      2
  avd-leaf4a_Ethernet1     172.31.255.61 4 65104            255       266    0    0 03:28:03 Estab   2      2
  avd-bl01a_Ethernet1      172.31.255.65 4 65105            256       258    0    0 03:27:35 Estab   3      3
  avd-bl01b_Ethernet1      172.31.255.69 4 65105            251       262    0    0 03:27:34 Estab   3      3
  avd-cl01a_Ethernet1      172.31.255.73 4 65106            260       264    0    0 03:27:55 Estab   3      3
  avd-cl01b_Ethernet1      172.31.255.77 4 65106            256       263    0    0 03:27:49 Estab   3      3
